gene_name
ACSL3
AMN
ANK1
ANK3
ANKFY1
ANXA13
AP1AR
AP1G1
AP1G2
AP2A1
AP3D1
AP3S1
AP3S2
AP4M1
AP5Z1
ARCN1
ARF3
ARF4
ARF5
ARFGAP2
ARFGAP3
ARFGEF2
ARFRP1
ARL3
ARL8B
ATL2
ATL3
ATP2C1
ATP9A
ATP9B
BBS1
BBS2
BCAP29
BCAP31
BET1
BET1L
BICD2
BLTP3B
BLZF1
BNIP1
CCDC22
CCDC91
CCDC93
CEP19
CIDEB
CLN3
CNIH4
CNST
COG1
COG2
COG3
COG4
COG5
COG6
COG7
COG8
COMMD1
COPA
COPB1
COPB2
COPE
COPG1
COPG2
COPZ1
COPZ2
CORO7
CREB3L2
CRYZL2P-SEC16B
CSK
CSNK1D
CTAGE1
CTAGE15
CTAGE4
CTAGE6
CTAGE8
CTAGE9
CUL3
CUX1
CYTH3
DNM2
DOP1A
DOP1B
EHD3
EPS15
ERGIC1
ERGIC2
ERGIC3
ERO1B
EXOC1
EXOC2
EXOC4
EXOC5
EXOC6
EXOC6B
EXOC8
GABARAPL2
GAK
GAS1
GBF1
GCC2
GGA1
GGA2
GGA3
GOLGA2
GOLGA4
GOLGA5
GOLGA7
GOLPH3
GOLPH3L
GOLT1A
GOLT1B
GOPC
GOSR1
GOSR2
HTT
HYOU1
IER3IP1
INSIG1
KDELR1
KDELR2
KDELR3
KIF13A
KIF16B
KIF1C
KLHL12
KLHL20
KRT18
LAMP1
LAPTM5
LLGL1
LLGL2
LMAN1
LMAN1L
LMAN2
LMAN2L
LMF1
LRRK2
LYPLA1
LYPLAL1
MACF1
MAPK15
MIA2
MIA3
MON2
MPPE1
MYO18A
MYO1B
MYO5A
NAPA
NAPG
NBAS
NKD2
NRBP1
NSF
OPTN
OSBPL5
P4HB
PDCD6
PEF1
PGAP1
PHAF1
PITPNB
PKDCC
PLPP3
PPP6C
PREB
PREPL
PRKCI
PRKD1
RAB10
RAB11A
RAB11FIP3
RAB13
RAB14
RAB1A
RAB1B
RAB26
RAB29
RAB2A
RAB31
RAB33B
RAB34
RAB3IP
RAB41
RAB4B
RAB6A
RAB6B
RAB6C
RAB6D
RAB7B
RAB8A
RABEP1
RABGGTA
RABGGTB
RABIF
RACK1
RANGRF
RBSN
RER1
RINT1
RNF139
RP2
RSC1A1
RUFY1
SAR1A
SAR1B
SCAMP1
SCAMP2
SCAMP3
SCAP
SCFD1
SCYL1
SEC13
SEC16A
SEC16B
SEC22A
SEC22B
SEC22C
SEC23A
SEC23B
SEC23IP
SEC24A
SEC24B
SEC24C
SEC24D
SEC31A
SEC31B
SGSM2
SNAP23
SNX1
SNX12
SNX2
SNX3
SNX8
SORCS1
SORL1
SORT1
SPAST
SPIRE1
SPIRE2
SPTBN1
STEAP2
STEEP1
STX10
STX17
STX18
STX5
STX6
STXBP5
STXBP5L
SURF4
SYS1
TAPBP
TBC1D14
TBC1D20
TEX261
TFG
TMED1
TMED10
TMED2
TMED3
TMED4
TMED5
TMED6
TMED7
TMED9
TMEM115
TRAPPC1
TRAPPC10
TRAPPC11
TRAPPC12
TRAPPC13
TRAPPC2
TRAPPC2B
TRAPPC2L
TRAPPC3
TRAPPC3L
TRAPPC4
TRAPPC5
TRAPPC6A
TRAPPC6B
TRAPPC8
TRAPPC9
TRIP11
USE1
USO1
UVRAG
VAMP2
VAMP3
VAMP4
VAMP5
VAMP7
VAPA
VAPB
VCP
VPS13A
VPS13C
VPS35L
VPS41
VPS51
VPS52
VPS54
VTI1A
VTI1B
WHAMM
WIPI1
YIF1A
YIF1B
YIPF4
YIPF5
YIPF6
YIPF7
YKT6
ZW10
