"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","diffexpressed"
"ENSG00000163399",1709.8323835088,1.62251346212066,0.236913039809693,6.84856124181255,7.45963997605769e-12,3.96455248148878e-11,"ATP1A1","UP"
"ENSG00000243364",24.1960812426979,3.64439604644879,0.463907195789259,7.85587307014817,3.96996955879709e-15,2.59337765373016e-14,"EFNA4","UP"
"ENSG00000143590",200.797179593098,-0.534278803355424,0.130391953278678,-4.09748293449939,4.17666948834251e-05,0.00011582469606076,"EFNA3","NO"
"ENSG00000169242",40.4041948308884,3.53136484056652,0.353743702033863,9.98283452189482,1.81214609992493e-23,1.81118672846027e-22,"EFNA1","UP"
"ENSG00000169241",110.525054053803,1.09715313304425,0.157396429695192,6.9706354532244,3.15512572500503e-12,1.73043063891415e-11,"SLC50A1","UP"
"ENSG00000169231",180.351259321991,1.08649578562942,0.141059509841786,7.70239303148041,1.33541395482008e-14,8.48224990891515e-14,"THBS3","UP"
"ENSG00000177628",314.742013873933,1.57274221968774,0.125621640130596,12.5196758938406,5.82726093397213e-36,8.91188033565441e-35,"GBA1","UP"
"ENSG00000143630",787.863464728398,-1.11583038423116,0.096785699458026,-11.5288765848623,9.43670524388587e-31,1.23718409567025e-29,"HCN3","DOWN"
"ENSG00000174059",144.175868427615,5.94892417375644,0.359849323295348,16.5317086587205,2.16906743639718e-61,6.25715192051349e-60,"CD34","UP"
"ENSG00000284735",49.8181525435664,-0.582206755786324,0.227495674780432,-2.55919923026335,0.010491359632611,0.0198594798927911,NA,"NO"
"ENSG00000284642",70.2453275781237,-0.488003462706845,0.189795317410006,-2.57120918137634,0.0101344092742796,0.0192481274289386,NA,"NO"
"ENSG00000158156",10.7241753452392,3.26247519936061,0.640238284238839,5.09572026489993,3.47417813428086e-07,1.2353022007987e-06,"XKR8","UP"
"ENSG00000182118",35.9657700790793,0.699418714411465,0.25668609780138,2.72480169515322,0.00643401181393512,0.0126924758772288,"FAM89A","UP"
"ENSG00000281912",10.9559417464516,-1.07498243250518,0.463936564752077,-2.31708926214868,0.0204988698233026,0.0364822768584618,"LINC01144","DOWN"
"ENSG00000070759",15.688905601174,2.73436439003474,0.473585617051316,5.77374880398542,7.75269888587107e-09,3.26216212902019e-08,"TESK2","UP"
"ENSG00000133019",266.619892139268,1.07230364266466,0.141142940632769,7.59728852082385,3.02399827503601e-14,1.87932533617911e-13,"CHRM3","UP"
"ENSG00000162639",8.08191220550881,-1.38555970999303,0.606671027240575,-2.28387321592595,0.0223789831564891,0.0395014858520577,"HENMT1","DOWN"
"ENSG00000116266",171.427140318424,1.17301529830939,0.138346246287782,8.47883719135634,2.27455699458546e-17,1.69430065300313e-16,"STXBP3","UP"
"ENSG00000132718",4866.17839980491,0.520200826143641,0.0655927403445519,7.93076830470994,2.17794222412433e-15,1.44608895389201e-14,"SYT11","NO"
"ENSG00000160803",949.831618003932,-0.624791576435043,0.0909177889258602,-6.87204983553367,6.32858360604303e-12,3.38354197766763e-11,"UBQLN4","DOWN"
"ENSG00000163468",1757.83718625621,0.217581882246661,0.0843066374894534,2.58083928769997,0.00985604529311041,0.0187592769771748,"CCT3","NO"
"ENSG00000254726",1952.12415071177,-0.674309806103472,0.0730998499392333,-9.22450328781816,2.84878170085499e-20,2.4771571074323e-19,"MEX3A","DOWN"
"ENSG00000186377",10.1133307607818,3.60080724259061,0.703752879247313,5.11657905604847,3.11126913812294e-07,1.11057928415645e-06,"CYP4X1","UP"
"ENSG00000162763",9.21782343754868,6.60466456081799,1.09726255057796,6.01921988255146,1.75259662790645e-09,7.78112602685094e-09,"LRRC52","UP"
"ENSG00000143061",1278.31219567979,0.21442404453067,0.0977290606773225,2.19406636106578,0.028230639160926,0.0486674908668115,"IGSF3","NO"
"ENSG00000162374",1572.67396261157,-0.423662162168974,0.101095774245254,-4.19070099944225,2.78093933731463e-05,7.88698719417674e-05,"ELAVL4","NO"
"ENSG00000156869",8.0470960400232,5.66169313013783,1.10760381573244,5.11165910564679,3.19341702579837e-07,1.13894518651008e-06,"FRRS1","UP"
"ENSG00000033122",469.115444672551,-1.11621521603216,0.100152561285753,-11.1451489777421,7.56176389777583e-29,9.27667367415951e-28,"LRRC7","DOWN"
"ENSG00000116678",81.6309698506328,1.32376997615713,0.21669783933299,6.10882868159545,1.00364990276098e-09,4.5535421890018e-09,"LEPR","UP"
"ENSG00000158710",1163.7371483649,4.75998410101255,0.247892192339603,19.2018314739479,3.57269646883869e-82,1.59327259060468e-80,"TAGLN2","UP"
